日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/01,30107526,7722031382,257.5,257.5,255.5,256.5,-3.0,11372
108/08/02,54165644,13627068452,252.0,253.5,250.5,251.5,-5.0,18096
108/08/05,52835721,13092403583,251.0,252.0,245.5,246.5,-5.0,20136
108/08/06,58916879,14440787992,240.0,250.0,240.0,248.5,2.0,22358
108/08/07,29435460,7305272500,250.0,250.5,246.5,248.0,-0.5,11208
108/08/08,30140266,7599200564,248.0,254.0,248.0,253.5,5.5,11228
108/08/12,24732603,6242935989,254.5,254.5,251.0,251.0,-2.5,8415
108/08/13,25045107,6204239476,249.0,249.5,246.5,246.5,-4.5,11377
108/08/14,36336703,9142333535,252.5,254.0,249.5,249.5,3.0,13609
108/08/15,28277412,6994442633,247.0,248.5,246.0,248.0,-1.5,10852
108/08/16,25696715,6420744887,249.5,252.0,248.0,250.0,2.0,8994
108/08/19,25098514,6326683127,251.5,253.0,250.5,252.0,2.0,9398
108/08/20,20620494,5233263533,254.0,254.5,252.5,254.5,2.5,8214
108/08/21,20269296,5152545480,254.5,255.0,253.0,254.5,0.0,7383
108/08/22,22136840,5659296700,257.0,257.5,254.0,254.0,-0.5,8794
108/08/23,14772877,3748071178,253.5,254.5,253.0,254.0,0.0,5663
108/08/26,31740620,7910873500,249.0,250.5,248.5,248.5,-5.5,13388
108/08/27,53664951,13410582151,250.5,251.0,248.5,250.0,1.5,8939
108/08/28,15280882,3852096070,250.5,253.0,250.5,252.0,2.0,6829
108/08/29,20085767,5078703588,253.0,254.0,251.0,254.0,2.0,6596
108/08/30,35299201,9092482858,256.5,259.0,256.0,259.0,5.0,13703
