日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/12/02,25516807,7844458306,307.0,308.0,306.5,307.5,+2.50,8465
108/12/03,27686319,8472595177,305.0,307.0,305.0,307.0,-0.50,9206
108/12/04,34911686,10652239802,305.0,306.0,304.0,306.0,-1.00,9989
108/12/05,39349842,12240671524,309.0,312.0,309.0,312.0,+6.00,13587
108/12/06,18402703,5771010050,315.0,316.0,311.0,313.0,+1.00,8974
108/12/09,23556081,7433484496,314.0,316.5,314.0,316.0,+3.00,10583
108/12/10,20847594,6540475540,315.0,315.5,312.5,313.5,-2.50,8702
108/12/11,34329148,10866410212,314.0,319.0,313.0,319.0,+5.50,11689
108/12/12,52801851,17446169339,325.0,334.5,324.0,331.5,+12.50,22555
108/12/13,60843939,20697194061,340.0,343.0,338.0,339.0,+7.50,23025
108/12/16,48340188,16272523200,336.5,338.5,336.0,336.0,-3.00,16938
108/12/17,41428458,14153896438,335.0,345.0,335.0,345.0,+9.00,16808
108/12/18,42486841,14594689501,341.5,345.0,341.5,344.5,-0.50,15836
108/12/19,55667012,18774880620,340.0,342.0,335.0,335.0,X0.00,28105
108/12/20,86280459,28483237354,332.0,333.0,328.5,329.0,-6.00,28112
108/12/23,26911340,8923609754,329.5,334.0,329.5,334.0,+5.00,12310
108/12/24,13783907,4591661991,334.0,334.5,332.0,332.0,-2.00,7887
108/12/25,12262954,4075131136,332.0,334.5,331.0,333.0,+1.00,7597
108/12/26,11427884,3803665702,333.0,334.0,331.5,333.0,0.00,6439
108/12/27,16677806,5624251712,335.0,338.0,335.0,338.0,+5.00,8660
108/12/30,21591263,7270827164,338.0,339.0,334.0,334.5,-3.50,10468
108/12/31,22950517,7614538961,331.0,333.5,331.0,331.0,-3.50,12253
