日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/05/02,27376394,7122135656,261.5,262.5,258.5,259.0,0.0,9110
108/05/03,30200246,7940572444,262.0,265.0,260.5,265.0,6.0,10068
108/05/06,33688187,8717053470,260.0,260.0,258.0,259.0,-6.0,12535
108/05/07,25686126,6719199455,259.5,263.0,259.0,262.5,3.5,8339
108/05/08,25902364,6750083504,260.0,261.5,259.5,260.0,-2.5,7905
108/05/09,34166574,8798140796,259.5,259.5,256.0,256.5,-3.5,10995
108/05/10,18868212,4844594484,257.0,259.0,255.0,256.0,-0.5,8009
108/05/13,29317535,7374249589,253.0,254.0,249.5,250.5,-5.5,11974
108/05/14,45620708,11345067455,247.5,251.0,245.0,248.5,-2.0,14283
108/05/15,37223479,9327051888,251.0,252.0,249.0,249.0,0.5,12041
108/05/16,30331519,7520908612,248.5,249.5,246.0,247.0,-2.0,11402
108/05/17,40006856,9775372898,249.0,249.0,241.5,241.5,-5.5,15217
108/05/20,47097661,11303513908,242.5,243.0,238.0,238.0,-3.5,13099
108/05/21,82872775,19418705158,233.5,236.0,232.5,234.0,-4.0,25418
108/05/22,36289034,8669172710,236.5,240.5,235.5,238.0,4.0,14019
108/05/23,62258627,14379543985,233.5,233.5,230.0,230.0,-8.0,24974
108/05/24,38226789,8866253632,230.0,234.0,230.0,233.0,3.0,14586
108/05/27,37447033,8697538216,234.0,235.0,231.0,231.0,-2.0,13895
108/05/28,99322033,22910765567,232.0,232.0,230.5,230.5,-0.5,10122
108/05/29,32260236,7385029780,228.0,230.5,227.0,229.5,-1.0,10233
108/05/30,40375328,9292745636,230.0,231.5,229.0,231.0,1.5,8772
108/05/31,49163217,11559578381,232.0,237.5,231.0,235.5,4.5,14365
